                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.851,                 3.7134,                0.97985,                0.00877,                0.06183,                0.03869,                0.01337,                 1.6214,                 3.8269,                0.87977,               0.000225,               0.000225,               0.000225
                      2,                 1.5557,                 1.5698,                0.89373,                0.02734,                0.16759,                0.06854,                0.03086,                 1.5624,                 3.1912,                0.87925,             0.00045792,             0.00045792,             0.00045792
                      3,                 1.4808,                  1.289,                0.87683,                0.05683,                0.33707,                0.21029,                0.09404,                 1.5903,                 2.4392,                0.87464,             0.00068614,             0.00068614,             0.00068614
                      4,                 1.4559,                 1.2106,                0.87169,                0.96681,                0.17286,                 0.2182,                0.09476,                 1.6724,                 1.9255,                0.87596,             0.00090966,             0.00090966,             0.00090966
                      5,                 1.4301,                 1.1499,                0.86682,                0.71939,                0.19484,                0.22739,                0.12798,                  1.374,                 1.6769,                0.85807,              0.0011285,              0.0011285,              0.0011285
                      6,                 1.3791,                 1.1106,                0.86044,                0.77229,                0.24398,                0.24932,                0.15049,                   1.26,                 1.0735,                0.85893,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.3688,                 1.0757,                0.85275,                0.85464,                0.25051,                0.27869,                0.17399,                 1.2151,                  1.088,                 0.8482,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.2872,                 1.0277,                0.84828,                0.72146,                0.29126,                0.29105,                0.17438,                 1.2228,                0.98561,                0.84561,              0.0011634,              0.0011634,              0.0011634
                      9,                  1.309,                 1.0203,                0.84213,                 0.9213,                0.25261,                0.33617,                0.20119,                 1.2478,                0.97065,                0.84708,               0.001151,               0.001151,               0.001151
                     10,                 1.3182,                0.98093,                0.85338,                0.79748,                0.29425,                0.36016,                0.22656,                 1.1253,                0.85676,                0.84216,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.3643,                0.99326,                0.85053,                0.65529,                0.33509,                0.35601,                0.19938,                 1.3325,                0.87629,                 0.8563,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.4701,                0.98733,                0.85917,                0.78463,                0.34536,                0.40489,                 0.2395,                 1.2973,                0.90688,                0.85198,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.3106,                0.93647,                0.85115,                0.71725,                0.36168,                0.40372,                0.24286,                 1.1798,                0.83171,                 0.8424,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.2512,                0.88787,                0.84158,                0.77028,                0.39492,                0.47681,                0.28756,                 1.1126,                0.81702,                0.83995,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.2236,                0.85646,                0.84063,                0.75455,                0.45623,                0.52737,                0.30032,                 1.2586,                0.77213,                0.84583,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.2763,                0.85281,                0.84482,                0.77151,                0.47459,                0.56334,                0.32168,                 1.1817,                0.77692,                0.84208,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.2213,                0.82208,                0.83588,                0.80226,                 0.5069,                0.57513,                0.33368,                 1.0993,                0.72605,                0.83742,               0.001052,               0.001052,               0.001052
                     18,                 1.1792,                0.78913,                0.83413,                 0.7934,                0.54442,                0.62333,                0.36202,                 1.1064,                0.70075,                0.83621,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.1934,                0.77415,                0.83615,                0.79015,                 0.5728,                0.63218,                0.37677,                  1.072,                0.66003,                 0.8355,              0.0010273,              0.0010273,              0.0010273
                     20,                  1.194,                0.76601,                0.84071,                0.83845,                0.45753,                0.56612,                0.32761,                 1.1055,                0.72334,                0.83312,              0.0010149,              0.0010149,              0.0010149
                     21,                  1.185,                0.76454,                0.83571,                0.79998,                0.52417,                0.60982,                0.36551,                  1.116,                0.68713,                0.83602,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.1665,                0.76351,                0.83887,                0.80661,                0.51108,                0.60683,                0.36536,                 1.0404,                0.66236,                0.83101,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.2078,                0.75794,                0.83087,                0.83504,                0.56441,                0.65761,                0.39813,                 1.0522,                0.67507,                0.83301,             0.00097775,             0.00097775,             0.00097775
                     24,                  1.179,                0.74616,                0.83086,                0.86059,                0.54197,                0.64159,                0.39822,                 1.0445,                0.64184,                0.83237,             0.00096537,             0.00096537,             0.00096537
                     25,                 1.2055,                0.72381,                0.83689,                0.83728,                0.54475,                0.64837,                0.38777,                 1.0594,                0.66047,                0.83331,               0.000953,               0.000953,               0.000953
                     26,                 1.1299,                0.70348,                0.83282,                0.83592,                0.58073,                0.67251,                 0.4115,                  1.044,                0.63602,                0.83297,             0.00094062,             0.00094062,             0.00094062
                     27,                 1.1859,                0.71919,                0.82965,                0.88795,                0.60418,                0.69624,                0.42727,                 1.0512,                0.63871,                0.83495,             0.00092825,             0.00092825,             0.00092825
                     28,                 1.1832,                0.70879,                0.82916,                0.85339,                0.60277,                0.69566,                0.42658,                 1.0306,                0.61305,                0.82662,             0.00091588,             0.00091588,             0.00091588
                     29,                 1.1554,                0.69505,                0.82987,                0.79692,                0.58749,                0.68974,                0.42045,                 1.0484,                0.63881,                0.82757,              0.0009035,              0.0009035,              0.0009035
                     30,                 1.1425,                  0.681,                0.82767,                0.89467,                0.57438,                0.71714,                0.43005,                 1.0575,                0.61276,                0.82701,             0.00089112,             0.00089112,             0.00089112
                     31,                 1.1668,                0.68407,                0.82865,                0.83875,                0.62943,                0.71851,                0.42594,                 1.0272,                0.60877,                0.82744,             0.00087875,             0.00087875,             0.00087875
                     32,                 1.1021,                0.67079,                 0.8293,                0.85683,                0.64012,                0.70831,                0.43859,                0.98602,                0.56913,                0.82561,             0.00086637,             0.00086637,             0.00086637
                     33,                 1.1253,                0.67215,                0.82302,                0.76872,                0.66986,                0.72375,                0.44582,                 1.0144,                0.59008,                0.82815,               0.000854,               0.000854,               0.000854
                     34,                 1.1419,                0.66658,                0.82602,                0.78962,                 0.6932,                0.71789,                0.45116,                 1.0052,                0.58767,                0.82657,             0.00084162,             0.00084162,             0.00084162
                     35,                 1.1036,                  0.659,                0.82727,                0.73608,                0.67347,                0.71622,                0.44497,                 0.9937,                0.56776,                0.82388,             0.00082925,             0.00082925,             0.00082925
                     36,                 1.1291,                0.67402,                0.82578,                0.82415,                0.66102,                0.72164,                0.44151,                 1.0253,                0.59201,                0.82713,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.1098,                0.65943,                0.82547,                0.83031,                0.66142,                0.71745,                 0.4539,                0.98643,                0.57403,                0.82388,              0.0008045,              0.0008045,              0.0008045
                     38,                 1.1085,                0.65448,                0.82959,                 0.7874,                 0.6052,                0.69221,                0.43196,                 1.0091,                0.63588,                0.82271,             0.00079213,             0.00079213,             0.00079213
                     39,                 1.0833,                0.64234,                0.82602,                0.85692,                0.62171,                 0.7106,                0.43386,                 1.0069,                0.58551,                0.82743,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.1013,                0.64239,                0.82557,                0.79403,                0.63552,                 0.7039,                 0.4315,                 1.0312,                0.59334,                0.82977,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.1278,                0.64869,                0.83233,                0.82801,                0.59968,                0.67293,                0.37747,                 1.1408,                0.65819,                0.84442,               0.000755,               0.000755,               0.000755
                     42,                  1.086,                0.63772,                0.82559,                0.75802,                0.64838,                0.68696,                 0.4347,                 1.0458,                0.59093,                0.82795,             0.00074263,             0.00074263,             0.00074263
                     43,                 1.0812,                0.63838,                0.82911,                0.87391,                0.64603,                0.73444,                0.44197,                 1.0197,                0.59344,                0.83015,             0.00073025,             0.00073025,             0.00073025
                     44,                 1.0849,                0.63202,                0.82127,                 0.8301,                0.64674,                0.71901,                0.44913,                0.97717,                0.56112,                 0.8234,             0.00071788,             0.00071788,             0.00071788
                     45,                 1.0684,                0.61263,                0.82158,                0.84166,                0.64983,                0.71899,                0.42802,                 1.0186,                 0.5808,                0.82673,              0.0007055,              0.0007055,              0.0007055
                     46,                 1.0825,                  0.622,                0.82383,                0.84635,                0.65634,                0.72494,                0.44465,                0.98518,                0.56195,                0.82281,             0.00069313,             0.00069313,             0.00069313
                     47,                 1.0789,                0.61732,                0.81955,                0.88534,                0.63903,                0.74483,                0.46275,                0.96521,                0.55317,                0.82385,             0.00068075,             0.00068075,             0.00068075
                     48,                 1.0433,                0.59962,                0.82379,                0.86075,                0.63562,                0.72321,                0.45336,                0.95183,                0.55548,                0.82081,             0.00066838,             0.00066838,             0.00066838
                     49,                  1.046,                0.60512,                0.82218,                0.82617,                0.65416,                0.72129,                0.44364,                0.98443,                0.58987,                0.82465,               0.000656,               0.000656,               0.000656
                     50,                 1.0452,                0.59516,                0.82161,                0.87116,                0.70187,                0.74156,                0.44699,                 1.0163,                0.55302,                0.82166,             0.00064362,             0.00064362,             0.00064362
                     51,                 1.0658,                0.59648,                0.81635,                0.90029,                 0.6672,                0.74058,                 0.4651,                0.95655,                0.53273,                0.82019,             0.00063125,             0.00063125,             0.00063125
                     52,                 1.0508,                0.58666,                 0.8167,                0.84638,                0.65192,                0.71613,                0.45331,                0.94097,                0.54309,                0.82161,             0.00061887,             0.00061887,             0.00061887
                     53,                 1.0372,                0.58606,                 0.8171,                 0.8275,                0.70004,                0.72485,                0.45318,                0.95493,                0.55516,                0.82071,              0.0006065,              0.0006065,              0.0006065
                     54,                 1.0442,                 0.5901,                 0.8214,                0.91779,                0.63857,                0.74199,                0.46828,                0.93638,                0.54007,                 0.8185,             0.00059413,             0.00059413,             0.00059413
                     55,                 1.0507,                 0.5888,                0.81599,                0.82112,                0.70295,                0.73831,                0.47224,                 0.9369,                0.52973,                0.81939,             0.00058175,             0.00058175,             0.00058175
                     56,                 1.0451,                0.58833,                0.81893,                0.86839,                0.61983,                 0.7152,                0.44174,                0.96475,                0.54316,                0.82083,             0.00056938,             0.00056938,             0.00056938
                     57,                 1.0468,                0.58269,                0.81855,                0.87341,                0.66626,                0.73952,                0.46337,                0.95016,                0.53091,                0.82129,               0.000557,               0.000557,               0.000557
                     58,                 1.0702,                 0.5872,                0.81721,                  0.831,                0.67333,                0.73738,                0.45779,                 0.9717,                0.52232,                 0.8207,             0.00054463,             0.00054463,             0.00054463
                     59,                 1.0378,                0.57526,                0.81634,                0.83998,                0.70439,                0.73631,                0.45717,                0.95735,                0.52873,                0.82238,             0.00053225,             0.00053225,             0.00053225
                     60,                 1.0218,                0.56946,                0.81557,                0.85841,                 0.6928,                0.74069,                0.45608,                0.95957,                0.53461,                0.82128,             0.00051988,             0.00051988,             0.00051988
                     61,                 1.0302,                0.56726,                0.81822,                 0.8404,                0.68983,                0.74443,                0.46277,                0.95459,                 0.5357,                0.81999,              0.0005075,              0.0005075,              0.0005075
                     62,                 1.0136,                0.55952,                0.81556,                0.84353,                0.66211,                0.73916,                0.48175,                0.91857,                0.52072,                0.81717,             0.00049513,             0.00049513,             0.00049513
                     63,                 1.0221,                0.56342,                0.81718,                0.80905,                0.70411,                0.73563,                 0.4764,                0.91093,                0.50422,                0.81703,             0.00048275,             0.00048275,             0.00048275
                     64,                0.97267,                0.53532,                0.81188,                0.84455,                0.68976,                0.74379,                0.47294,                0.95832,                0.52196,                 0.8205,             0.00047038,             0.00047038,             0.00047038
                     65,                 1.0143,                 0.5575,                0.81716,                0.81201,                0.70679,                0.74183,                0.47716,                0.91971,                0.51945,                0.81799,               0.000458,               0.000458,               0.000458
                     66,                 1.0086,                0.55582,                0.81352,                0.81878,                0.66886,                0.73351,                0.48615,                0.91306,                0.51446,                0.81879,             0.00044563,             0.00044563,             0.00044563
                     67,                 0.9819,                0.55027,                  0.812,                0.85068,                0.68698,                0.73767,                0.47218,                0.93023,                0.52133,                0.81717,             0.00043325,             0.00043325,             0.00043325
                     68,                 1.0157,                0.55543,                0.81441,                 0.8607,                0.65639,                0.72893,                 0.4777,                0.94202,                0.51116,                0.81905,             0.00042087,             0.00042087,             0.00042087
                     69,                 1.0006,                0.54613,                0.81397,                0.78584,                  0.723,                0.73818,                0.47847,                0.91353,                0.50669,                 0.8156,              0.0004085,              0.0004085,              0.0004085
                     70,                 1.0097,                0.54949,                0.81241,                0.83357,                0.67753,                0.73651,                0.48275,                0.92367,                0.50668,                0.81719,             0.00039613,             0.00039613,             0.00039613
                     71,                0.96509,                 0.5393,                0.81836,                0.82733,                0.68971,                0.74721,                0.47849,                0.93796,                0.50757,                0.81734,             0.00038375,             0.00038375,             0.00038375
                     72,                0.99243,                0.54044,                 0.8109,                0.85152,                0.69139,                0.75683,                0.48763,                0.91067,                0.49862,                0.81607,             0.00037138,             0.00037138,             0.00037138
                     73,                0.98822,                0.53033,                 0.8137,                0.86995,                0.70098,                0.76608,                0.48747,                0.91314,                0.49537,                0.81685,               0.000359,               0.000359,               0.000359
                     74,                 1.0098,                0.54225,                0.81307,                0.87972,                0.68682,                0.75452,                0.48779,                0.90095,                0.49932,                0.81547,             0.00034663,             0.00034663,             0.00034663
                     75,                0.98169,                0.53022,                0.81239,                0.82913,                0.70113,                0.74922,                0.49691,                0.90609,                0.49379,                0.81641,             0.00033425,             0.00033425,             0.00033425
                     76,                0.98154,                0.52661,                0.81214,                0.85631,                0.66457,                 0.7447,                0.49128,                0.89386,                0.49147,                0.81583,             0.00032188,             0.00032188,             0.00032188
                     77,                 1.0055,                0.54347,                0.80943,                0.84271,                0.65277,                0.73138,                0.47486,                0.89927,                0.49766,                0.81451,              0.0003095,              0.0003095,              0.0003095
                     78,                0.96604,                0.53001,                0.81018,                0.86397,                0.67982,                0.74982,                0.49511,                0.90718,                0.49863,                0.81442,             0.00029713,             0.00029713,             0.00029713
                     79,                0.98757,                0.52994,                0.80976,                0.82412,                0.69219,                0.74496,                0.48437,                0.90205,                0.50178,                0.81527,             0.00028475,             0.00028475,             0.00028475
                     80,                 0.9752,                0.53064,                0.80822,                0.77464,                 0.6928,                  0.729,                0.48027,                0.89438,                0.50598,                0.81385,             0.00027237,             0.00027237,             0.00027237
                     81,                 0.9908,                0.54088,                0.81391,                  0.779,                0.73362,                0.74261,                0.47485,                0.89097,                0.50268,                0.81387,                0.00026,                0.00026,                0.00026
                     82,                 0.9974,                0.53239,                0.81007,                0.87018,                0.66908,                0.73782,                 0.4777,                0.89065,                0.49822,                0.81417,             0.00024762,             0.00024762,             0.00024762
                     83,                 0.9744,                0.51702,                  0.806,                0.88537,                0.65316,                0.74327,                0.47898,                0.87905,                0.49476,                0.81377,             0.00023525,             0.00023525,             0.00023525
                     84,                0.96683,                0.52278,                0.81221,                0.87934,                 0.6526,                0.74506,                0.48645,                 0.8945,                0.49541,                0.81382,             0.00022288,             0.00022288,             0.00022288
                     85,                0.96862,                0.51888,                0.80733,                0.86826,                0.65533,                0.74399,                0.47969,                0.90371,                0.50037,                0.81566,              0.0002105,              0.0002105,              0.0002105
                     86,                0.95295,                0.51157,                0.80899,                0.86901,                0.68512,                0.75991,                 0.4915,                0.88735,                0.48768,                0.81216,             0.00019813,             0.00019813,             0.00019813
                     87,                0.98058,                0.52259,                0.80984,                0.88914,                0.68458,                0.76554,                0.49718,                0.90333,                0.48734,                0.81356,             0.00018575,             0.00018575,             0.00018575
                     88,                0.99159,                0.51985,                0.80903,                0.86384,                0.67728,                0.75727,                0.50123,                0.88741,                0.47895,                0.81325,             0.00017338,             0.00017338,             0.00017338
                     89,                0.95317,                0.50808,                0.80966,                0.92184,                0.66742,                 0.7668,                0.50157,                0.91615,                0.48605,                0.81405,               0.000161,               0.000161,               0.000161
                     90,                0.94911,                0.51102,                0.80798,                0.90451,                0.67943,                0.76545,                0.49914,                0.88709,                 0.4838,                0.81264,             0.00014862,             0.00014862,             0.00014862
                     91,                0.87772,                0.48555,                0.80909,                0.88562,                0.66823,                0.75632,                0.49803,                  0.884,                0.48463,                0.81406,             0.00013625,             0.00013625,             0.00013625
                     92,                 0.8882,                0.48778,                0.80608,                0.89353,                0.66652,                 0.7698,                0.48968,                0.89296,                0.48002,                0.81385,             0.00012387,             0.00012387,             0.00012387
                     93,                0.86932,                0.48096,                0.80807,                0.86665,                0.69748,                0.76789,                0.49771,                0.88829,                0.47548,                0.81329,              0.0001115,              0.0001115,              0.0001115
                     94,                 0.8498,                 0.4698,                0.81026,                0.84159,                0.71534,                 0.7662,                0.50017,                0.88534,                0.47427,                0.81267,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.85755,                0.47457,                0.80629,                0.78943,                0.73311,                0.76551,                0.50472,                0.88511,                0.47488,                0.81126,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.85636,                0.47332,                0.80981,                0.82245,                0.72188,                0.76854,                0.49693,                0.88639,                  0.475,                0.81163,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.86455,                0.47156,                0.80901,                0.81631,                0.72947,                0.76818,                0.49519,                0.88667,                0.47259,                0.81168,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.86088,                0.46832,                0.80534,                0.81617,                0.72554,                0.76772,                0.50914,                0.88182,                 0.4711,                0.81127,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.83815,                0.46734,                0.80465,                0.80555,                0.72315,                0.76381,                0.50345,                0.88187,                0.47316,                0.81215,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.83728,                0.45922,                0.80495,                0.85968,                0.75569,                0.78185,                0.50856,                0.87962,                0.46861,                0.81228,             2.4875e-05,             2.4875e-05,             2.4875e-05
